feature	Bacteroides	Unknown	Parabacteroides	Odoribacter	Escherichia-Shigella	Akkermansia	Blautia	Alistipes	[Ruminococcus]_torques_group	Faecalibacterium	[Ruminococcus]_gnavus_group	Streptococcus	Bifidobacterium	Agathobacter	Cetobacterium	Collinsella	Clostridium_sensu_stricto_1	Barnesiella	[Eubacterium]_coprostanoligenes_group	Christensenellaceae_R-7_group	Tannerellaceae	Anaerostipes	[Eubacterium]_hallii_group	UCG-002	Roseburia	Phascolarctobacterium	Ruminococcus	Incertae_Sedis	Dorea	Klebsiella	Prevotella_9	Clostridia_UCG-014	Parasutterella	Dialister	uncultured	Intestinibacter	[Ruminococcus]_gauvreauii_group	Subdoligranulum	Lactobacillus	Lachnoclostridium	Monoglobus	Lachnospira	Alloprevotella	Bilophila	Paraprevotella	Coprococcus	Eisenbergiella	Veillonella	[Eubacterium]_eligens_group	Butyricimonas	Holdemanella	UBA1819	Butyricicoccus	Desulfovibrio	[Eubacterium]_siraeum_group	Fusicatenibacter	Tyzzerella	Erysipelotrichaceae_UCG-003	Colidextribacter	Acidaminococcus	Negativibacillus	CAG-873	Frisingicoccus	[Eubacterium]_xylanophilum_group	Sutterella	Megasphaera	Erysipelatoclostridium	[Clostridium]_innocuum_group	Flavonifractor	Candidatus_Stoquefichus	Rikenellaceae_RC9_gut_group	HT002	Succiniclasticum	Turicibacter	Porphyromonas	Lachnospiraceae_ND3007_group	Faecalitalea	Clostridia_vadinBB60_group	Muribaculaceae	Hungatella	Coprobacter	[Eubacterium]_ventriosum_group	Lachnospiraceae_UCG-001	Erysipelotrichaceae	Adlercreutzia	Mogibacterium	Romboutsia	UC5-1-2E3	CAG-352	Terrisporobacter	UCG-005	Sellimonas	Lachnospiraceae_NC2004_group	Haemophilus	CAG-56	UCG-010	UCG-003	Anaerotruncus	Ligilactobacillus	Proteus	Lachnospiraceae_UCG-004	Prevotella	Gastranaerophilales	Peptococcus	Eggerthella	Family_XIII_AD3011_group	Prevotellaceae_NK3B31_group	RF39	Limosilactobacillus	Actinomyces	Izemoplasmatales	Sarcina	Fusobacterium	Victivallaceae	[Eubacterium]_nodatum_group	Senegalimassilia	[Eubacterium]_ruminantium_group	Clostridioides	Lacticaseibacillus	Weissella	Lachnospiraceae_FCS020_group	Holdemania	DTU089	Victivallis	Family_XIII_UCG-001	Coprobacillus	Ruminiclostridium	Enterococcus	Merdibacter	Hydrogenoanaerobacterium	[Eubacterium]_fissicatena_group	Sanguibacteroides	Anaerostignum	Slackia	Peptoclostridium	Catenibacterium	Granulicatella	Clostridium_sensu_stricto_13	Lactococcus	Eubacterium	Coriobacteriaceae_UCG-003	[Eubacterium]_brachy_group	Lachnospiraceae_UCG-010	Fournierella	Howardella	Prevotella_7	Oscillibacter	Cloacibacillus	Enterorhabdus	Anaerobiospirillum	Megamonas	Rothia	Gordonibacter	Oxalobacter	DTU014	[Clostridium]_methylpentosum_group	Harryflintia	Defluviitaleaceae_UCG-011	NK4A214_group	Catenibacillus	Marvinbryantia	Lachnospiraceae	Succinivibrio	Atopobium	Fenollaria	[Bacteroides]_pectinophilus_group	Anaerofustis	Enterobacter	Staphylococcus	Christensenellaceae	Paludicola	GCA-900066755	Allisonella	Prevotellaceae_UCG-001	UCG-008	Campylobacter	Dielma	Lawsonella	Paeniclostridium	Mailhella	Peptoniphilus	Rikenella	Stomatobaculum	Christensenella	Lachnospiraceae_NK4B4_group	Tuzzerella	Murimonas	Syntrophomonas	Phocea	Muribaculum	Libanicoccus	Faecalicoccus	Succinatimonas	Lachnospiraceae_UCG-003	Pediococcus	Alloscardovia	Olsenella	Solobacterium	Lachnospiraceae_UCG-002	Scardovia	Oscillospira
NW001-1	-1.24839518702515	-4.36111013191462	-4.1339665889868	NA	NA	-3.25850271474573	-4.95894243288682	-4.54390493360798	-8.4537071246364	-10.3281762425525	NA	-7.41063840274451	NA	-9.41063840274451	NA	-4.73655001155037	NA	NA	-7.15825124111023	NA	-7.4537071246364	NA	-5.79766152585376	-7.26928255349897	-10.1761731491075	-5.02642602960281	NA	-8.4537071246364	-8.79766152585376	-10.1761731491075	NA	NA	NA	-12.4981012439949	NA	-9.49810124399485	-9.25017373055127	-7.94351239231721	NA	-8.03866962535755	-9.9131387432737	NA	NA	-6.35854989159606	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.00624814766518	NA	-10.9131387432737	NA	NA	-7.26928255349897	-3.19889322560757	-9.49810124399485	NA	-11.1761731491075	NA	-6.83988976124306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.97453928793784	NA	NA	NA	-8.9131387432737	-9.25017373055127	-8.10578382121609	NA	NA	NA	NA	-10.9131387432737	-11.4981012439949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.9131387432737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW001-3	-1.92529786395553	-4.07658820402634	-4.24870741888157	NA	NA	-2.48288207023321	-5.71061152319838	-5.56816725817818	-8.11660388287422	-9.85356947704043	NA	-6.71061152319838	-11.8535694770404	NA	NA	-4.79828704153924	NA	NA	-7.85356947704043	-9.11660388287422	-7.53164138215306	NA	-5.49601747242234	-6.4727476930995	-11.4385319777616	-4.42172369007503	NA	-9.73809225962049	-9.73809225962049	-9.11660388287422	NA	NA	NA	-11.4385319777616	NA	NA	-10.4385319777616	-9.63117705570398	NA	-7.63117705570398	-8.91497002170457	-10.631177055704	NA	-6.00390375012486	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.09868197487696	NA	NA	-9.11660388287422	NA	-7.13475122958448	-2.51297753788803	-11.1166038828742	NA	-8.79467578798686	NA	-7.190604464318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.65717226423692	NA	-9.63117705570398	NA	NA	NA	NA	NA	NA	NA	-8.48433566737471	NA	NA	NA	-8.04621455498282	-8.85356947704043	-7.41616416473313	NA	NA	-10.1166038828742	NA	NA	-10.4385319777616	-11.4385319777616	NA	NA	NA	-11.8535694770404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.63117705570398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.97910035912428	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW001-4	-5.89283607223547	-3.60581359229631	-9.05702470412863	NA	-8.86437962618624	-1.19018735804056	-5.20974359765827	-8.86437962618624	-8.24966978207103	-10.1639399080451	-9.40494800754894	-6.74543855346273	NA	NA	NA	-5.68945394368556	-11.8643796261862	NA	NA	-9.7769167849359	NA	-9.40494800754894	-7.15013410852012	NA	NA	NA	NA	-11.8643796261862	-7.93364228862335	-1.61971848142204	NA	NA	NA	NA	-10.0570247041286	NA	-10.1639399080451	-9.86437962618624	NA	-8.22052343641151	-11.0570247041286	NA	NA	-8.37252652985656	NA	NA	NA	NA	NA	NA	NA	-11.0570247041286	-9.34081767012923	-7.17787909900302	NA	-10.5424515312989	NA	NA	-9.7769167849359	NA	NA	NA	-11.0570247041286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.2794171254651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.9544865424162	NA	NA	NA	NA	NA	-10.8643796261862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.8643796261862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.5424515312989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.8643796261862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW002-1	NA	-3.25420247795229	-6.18198044003463	NA	-4.1503940969768	-4.62995182867556	-4.19140369392125	-4.95958801869818	-5.6020360140801	-5.42264703283997	-8.95958801869818	-3.94357570070955	-9.86005234514727	-6.74457512772733	NA	NA	NA	NA	-3.74041949823602	-6.74457512772733	-1.75257369852065	-9.12308675098106	-6.21235408907815	-8.48154072189354	NA	NA	-6.05269742308966	NA	NA	NA	NA	NA	-7.35755200461808	NA	NA	-6.69012734370495	NA	-7.5381242502599	NA	NA	-7.8362056031929	-7.02547595435464	NA	NA	NA	-9.12308675098106	-8.09451759878429	-6.11589124957686	NA	-9.06650322261469	NA	-9.37462551797702	-6.97252707440568	NA	NA	-9.18198044003463	NA	-9.06650322261469	-7.42709293787116	NA	-5.52853820143071	NA	NA	-8.72254882139733	NA	NA	-9.5190154273122	-7.21235408907815	-7.5381242502599	NA	NA	-8.86005234514727	NA	NA	NA	-7.76694294075579	NA	-10.3075113221185	-5.55748957512684	-10.3075113221185	NA	NA	-9.5190154273122	NA	NA	NA	NA	-7.37462551797702	NA	NA	NA	NA	-9.59701793931347	NA	NA	NA	NA	-9.18198044003463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.73351993921834	NA	NA	NA	NA	-10.5970179393135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.1819804400346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.4450148458684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW002-2	NA	-3.02016997240366	-7.32699117490082	NA	-4.83513807857114	-4.8298046342681	-3.74202867417966	-3.92896010092766	-5.28259705554236	-7.59002558073461	-8.82449083437163	-3.70006538107597	-7.02931062626013	-5.50256273948427	NA	NA	NA	NA	-4.74704674894629	-7.00506308001345	-2.07748262563775	-9.91195367562197	-4.79301260289847	-7.21151395748088	NA	NA	-5.99309043834738	NA	NA	NA	NA	NA	-6.82449083437163	NA	NA	-8.10459875356437	NA	-6.93467375212206	NA	NA	-8.1570661734585	-7.07906366145723	NA	NA	NA	NA	-7.21151395748088	-5.77240232322318	NA	-8.10459875356437	NA	-9.59002558073461	-8.26809748584725	NA	NA	-10.3269911749008	NA	-8.91195367562197	-6.50256273948427	NA	-6.93467375212206	NA	NA	-8.0539726804944	NA	NA	-9.91195367562197	-6.91195367562197	-7.18403322105877	NA	NA	NA	NA	NA	NA	-7.07906366145723	NA	NA	-4.72707833271369	NA	NA	NA	-10.5900255807346	NA	NA	NA	NA	-7.78267065867701	NA	NA	NA	NA	-8.1570661734585	NA	NA	NA	NA	-8.0539726804944	NA	NA	NA	NA	NA	NA	-9.91195367562197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.48568892091988	NA	NA	NA	NA	-10.1045987535644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.74202867417966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW003-1	-1.96696655406709	-3.87672862509827	-3.67149432522218	-2.34353764811534	-7.80871020166961	-4.50460910375413	-4.3842123731417	-3.38303418194442	-5.0603996339094	-6.04168737364723	NA	NA	NA	-7.41278152533848	NA	NA	NA	NA	-9.55413737458402	NA	NA	-7.51231719888939	-8.88671271367089	-8.2492827930556	-4.93079378213501	NA	-8.02689037171915	-7.94116049769326	-9.0566377151132	NA	NA	-10.319672120947	NA	-6.3842123731417	-8.99774402605963	-10.471675214392	NA	-8.99774402605963	NA	-8.64160021583436	-8.88671271367089	-8.64160021583436	NA	-6.6303729604111	NA	NA	-7.18216859719706	NA	-6.51231719888939	NA	NA	-9.11803825977734	NA	NA	NA	-8.08701136415672	NA	NA	-9.39367270239077	NA	-7.73470962022584	NA	-9.319672120947	-8.83424529377675	NA	NA	NA	-10.8342452937768	-9.47167521439204	-8.51231719888939	NA	NA	NA	NA	NA	NA	NA	-11.6416002158344	NA	NA	NA	NA	-9.64160021583436	-10.6416002158344	NA	NA	NA	-9.319672120947	-10.471675214392	NA	-8.2492827930556	-10.1821685971971	NA	NA	NA	-10.6416002158344	-7.47167521439204	-9.73470962022584	NA	NA	-8.99774402605963	NA	NA	NA	NA	NA	NA	-9.319672120947	NA	NA	-8.02689037171915	-7.71086287827147	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.0566377151132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.1821685971971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.319672120947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW003-2	-2.31162455844192	-3.88309809948676	-3.55775649437544	-2.10498204619739	-5.47172691740568	-3.84455971340861	-4.38275328758341	-3.38275328758341	-5.08168379759371	-6.78633167148719	NA	NA	NA	-6.09011241966429	NA	NA	NA	NA	-9.63068080102699	-9.3896727015232	NA	-6.79549167077266	-8.33522491750082	-9.33522491750082	-6.67225990477839	NA	-8.09011241966429	-8.56655046360728	-9.33522491750082	NA	NA	-10.1832218240558	NA	-7.17124918238969	-9.09011241966429	-11.5051499189431	NA	NA	NA	-8.25722240549955	-8.06774460663583	-8.41768707769279	NA	-6.61437898869789	NA	NA	-6.56655046360728	NA	-7.78633167148719	NA	NA	-8.7325604150462	NA	NA	NA	-8.30875270613963	-11.2827574976067	NA	-8.30875270613963	NA	-8.96082940271932	NA	-9.3896727015232	-8.96082940271932	NA	NA	NA	-11.0901124196643	-10.0901124196643	-9.44625622988956	NA	NA	NA	NA	NA	NA	NA	-11.2827574976067	NA	NA	NA	NA	NA	-11.7681843247769	-10.7681843247769	NA	NA	-8.76818432477693	NA	NA	-7.69779499688553	NA	-9.44625622988956	NA	NA	-11.5051499189431	-8.18322182405577	-9.18322182405577	NA	NA	NA	NA	NA	NA	-10.5051499189431	NA	NA	-8.92018741822198	NA	NA	NA	-6.97117134694078	NA	NA	NA	NA	NA	NA	NA	NA	-9.69779499688553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.5051499189431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.5051499189431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW003-3	-3.07725643190972	-4.73338792329149	-5.11458196759854	-1.89260512887792	-6.06877827798541	-2.7615774688446	-5.99731591542879	-2.57893031754611	-4.90136013215368	-7.24859931557022	NA	NA	NA	-7.71122627336733	NA	NA	NA	NA	-8.71122627336733	-8.18613522862357	NA	-7.31389077582194	-7.52961946687738	-7.27436241163531	NA	NA	-7.00268908752764	-6.84960975752325	-8.5452163219284	NA	NA	-7.57692518165574	NA	-7.74685018309805	-9.74685018309805	-8.51418942630777	NA	NA	NA	NA	-10.8988532765431	-9.67646085520665	NA	-7.41056679523362	NA	NA	-7.64251352328331	NA	-7.41056679523362	NA	NA	-8.36833855984432	NA	NA	NA	-8.5452163219284	NA	NA	-9.5452163219284	NA	-7.4394216579058	NA	-7.36833855984432	NA	NA	NA	-11.2614233559278	-10.2614233559278	-9.5452163219284	-9.42492208821069	NA	NA	NA	NA	NA	NA	-10.2614233559278	-11.7468501830981	NA	NA	NA	NA	NA	-9.02438415862696	-8.74685018309805	NA	NA	-10.0687782779854	-9.42492208821069	NA	-6.49134944994966	-9.48381577726426	-9.21079728285784	NA	NA	-10.1618876823769	-9.42492208821069	-8.71122627336733	NA	NA	NA	NA	NA	NA	-9.42492208821069	NA	NA	NA	NA	NA	-11.7468501830981	-5.25820664324427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.7468501830981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.2614233559278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.2614233559278	-9.67646085520665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.0687782779854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW003-4	-2.23759644019558	-4.63834971346818	-3.29152670258495	-2.58372646179284	-4.55325777668059	-3.26476664136106	-8.93445182098764	-3.10646893754331	-4.18128899929363	-7.44570463552578	NA	NA	NA	-6.10074557198308	NA	NA	NA	NA	-10.8886481313745	-8.981757535766	NA	-6.81183253432368	-8.39679503504484	-8.53109612675643	-9.7187231299322	NA	-7.67919476574556	-7.78012367459634	-8.46238337667242	NA	NA	-6.78012367459634	NA	-7.54879812848989	-9.42921651273722	NA	NA	NA	NA	NA	-11.3036856306534	NA	NA	-7.01828341179111	NA	NA	-6.32640570715344	NA	-8.60324591251226	NA	NA	-7.2592915112949	NA	NA	NA	-9.64072061793093	NA	NA	NA	NA	-7.73890101186983	NA	-7.2592915112949	NA	NA	NA	NA	NA	-8.56672003648715	-9.18820841323342	NA	NA	NA	NA	NA	NA	NA	-10.1882084132334	NA	NA	NA	NA	NA	-9.3650861753175	-10.7187231299322	NA	NA	-8.64072061793093	-8.981757535766	NA	-7.58486738319741	-9.56672003648715	NA	NA	NA	NA	-9.49633070859575	-8.84425401201606	NA	NA	NA	NA	NA	NA	NA	-9.18820841323342	NA	-6.54879812848989	NA	NA	-11.0812932093169	-6.47079561648862	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.0812932093169	NA	NA	NA	-9.24479194159979	-10.3036856306534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.7187231299322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW003-5	-2.00664684447296	-4.83446586909028	-3.37116931128539	-2.2326524673689	-6.02643536985298	-4.09986728946799	-7.99966846029019	-3.511592054706	-3.11128333353374	-8.10985137804061	NA	NA	NA	-5.86796278107837	NA	NA	NA	NA	-10.180240705932	-9.99966846029019	NA	-8.80172908267828	-9.56356934548352	-10.9172063000982	-6.60331552427627	NA	-8.80172908267828	-8.66086654683843	-9.18024070593201	NA	NA	-6.93738418203585	NA	-7.82034476084563	-10.6276996829032	NA	NA	NA	NA	-9.69481387876177	-10.3866915833994	-10.7652032066532	NA	-7.0103157044897	NA	NA	-6.69481387876177	NA	-6.67774036540283	NA	NA	-8.33224379937706	NA	NA	NA	-9.50216880081937	NA	NA	-10.3866915833994	NA	-7.6441878056918	NA	-7.93738418203585	-10.9172063000982	NA	NA	NA	NA	-9.22915030641296	-9.44327511176581	NA	NA	NA	NA	-11.7652032066532	NA	NA	-9.44327511176581	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.69481387876177	NA	NA	-8.15639396397764	NA	NA	NA	NA	NA	-8.08713130154053	-9.08713130154053	NA	NA	NA	NA	NA	NA	NA	-10.5021688008194	NA	-8.80172908267828	NA	NA	-9.50216880081937	-8.53254244986289	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.7652032066532	NA	NA	NA	NA	-10.6276996829032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.91720630009822	NA	-11.5021688008194	-12.0871313015405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW005-1	-1.54062955268459	-3.54045160695006	-3.66062206527436	-9.16802997579888	-11.7182270583594	-11.3556569789746	-3.38667026227422	-5.36823504505412	-4.34567289040202	-6.32101083616776	-8.41705752363879	-8.52558198041696	-8.54830205691704	-5.55691518722175	NA	-6.09095375278023	NA	NA	-8.91087213630175	-9.43811913916662	-4.86024606323178	-6.54830205691704	-7.22180123223986	-8.69269196625222	-5.12256995684196	-5.7442222668923	-5.86737049766516	-9.35565697897465	-7.27765446697337	NA	NA	-13.525581980417	-10.3556569789746	NA	-10.2776544669734	-11.0661503617797	-5.59780401833462	-7.78411499401581	NA	-10.0661503617797	-8.31612861478801	-7.61869138480844	NA	-8.09931722571486	NA	-9.06615036177966	-10.8251422622759	NA	-6.32101083616776	-9.52558198041696	NA	-10.8251422622759	-8.9406194796958	-8.69269196625222	NA	-6.11619104427926	-10.6186913848084	NA	-7.70540301800177	NA	NA	NA	NA	-8.18573197753233	-10.3556569789746	NA	-8.2036538855296	-12.9406194796958	-8.57138567003008	NA	-10.525581980417	-11.9406194796958	NA	NA	NA	-7.36571064363857	NA	NA	-5.75409251091636	NA	NA	-7.43811913916662	-8.25879543972206	NA	-9.77069447825349	NA	NA	NA	NA	NA	NA	NA	NA	-12.9406194796958	NA	NA	-10.8251422622759	NA	NA	NA	NA	NA	NA	-9.00202002435995	-10.9406194796958	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.0661503617797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.9406194796958	NA	NA	NA	NA	NA	NA	NA	-11.3556569789746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.9406194796958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.525581980417	NA	NA	NA	NA	NA	NA	NA	-10.1332645576382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW005-2	-2.14821780804129	-3.32239228248496	-4.80758699718734	-8.24445085891936	NA	NA	-2.92428322189644	-4.47529839069426	-5.12222259950835	-5.30279484515017	NA	-6.04741401185981	-7.82064315001279	-4.68911352730748	NA	-6.28911990825309	NA	NA	-9.35407535009386	-7.12626943257105	-5.7011360555567	-6.34461502084479	-6.68313962626285	-6.14257124490015	-4.99467254978783	-6.38283434307528	-6.14257124490015	-8.60200286353744	-6.65948835819821	NA	NA	-8.84711536137398	NA	NA	-10.4320778620951	NA	-5.20539808235559	-5.00581310739303	NA	-9.51454002228711	-6.92957752156595	-9.07844090748043	NA	NA	NA	-8.43207786209513	NA	-10.2800747686501	-6.25327470930637	-9.35407535009386	NA	-9.01704036281629	-8.24445085891936	-7.35407535009386	-11.2800747686501	-6.50397078057692	-9.28007476865008	NA	-7.09420822333875	NA	NA	NA	-9.79464794147984	-7.01704036281629	-11.6020028635374	NA	-9.51454002228711	-10.7946479414798	-8.69511226792893	NA	NA	-9.35407535009386	NA	NA	NA	-8.01704036281629	NA	NA	-4.84711536137398	NA	NA	-9.60200286353744	-6.49347840675928	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.14257124490015	NA	NA	NA	-10.2800747686501	-10.4320778620951	NA	NA	NA	NA	NA	-8.24445085891936	-11.0170403628163	NA	NA	NA	NA	-10.4320778620951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.20968544075869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.6020028635374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.60200286353744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW005-3	-1.73422723627164	-3.80752274559538	-4.46970474877843	-7.89969258952325	NA	NA	-3.12125035938088	-4.06680257535851	-4.96109313418739	-6.15075435369097	-8.7476894960782	-6.6773001681868	-9.7476894960782	-4.38662300728388	NA	-7.18697454160372	NA	NA	-8.82169007752198	-7.54605563490855	-5.21163659583799	-6.42576140119084	-5.84079890046968	-5.49976198263461	-6.44026097088595	-5.79349318569133	-5.59388415999916	-8.21163659583799	-7.09233766746565	NA	NA	NA	NA	NA	-9.36917787282447	NA	-4.68160030562043	-6.82169007752198	NA	-10.0696175909656	-7.09233766746565	-8.89969258952325	NA	-9.06961759096556	NA	-9.48465509024441	-9.89969258952325	NA	-6.23672757680082	-8.6773001681868	NA	NA	-9.26226266890796	-7.23672757680082	NA	-6.87979303208555	NA	NA	-8.26226266890796	NA	NA	NA	NA	-7.98215474971522	-8.26226266890796	NA	-9.48465509024441	NA	-8.98215474971522	NA	-11.0696175909656	-10.7476894960782	NA	NA	NA	-7.78421537210331	NA	NA	-6.80283105027066	NA	NA	NA	-7.02522347160711	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.16272699535704	NA	NA	NA	-10.0696175909656	NA	NA	NA	NA	NA	NA	-8.21163659583799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.262262668908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.98215474971522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.36917787282447	NA	NA	NA	NA	NA	-11.0696175909656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
